WTA,Location,Tournament,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,The Final,3,Stephens S.,Cibulkova D.,24,66,1965,881,6,4,4,6,7,6,2,1,Completed,1.66,2.2,1.65,2.2,,,1.69,2.33
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,Semifinals,3,Cibulkova D.,Mchale C.,66,64,881,910,6,3,6,3,,,2,0,Completed,1.4,3,1.38,3,1.4,3,1.43,3.13
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,Semifinals,3,Stephens S.,Wickmayer Y.,24,52,1965,1026,6,2,6,0,,,2,0,Completed,1.44,2.75,1.42,2.7,1.44,2.75,1.48,2.92
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,Quarterfinals,3,Cibulkova D.,Larsson J.,66,59,881,963,3,6,6,2,6,3,2,1,Completed,1.33,3.25,1.38,3,1.36,3.25,1.37,3.45
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,Quarterfinals,3,Mchale C.,Lucic M.,64,68,910,855,6,4,6,7,6,2,2,1,Completed,2.37,1.53,2.15,1.65,2.25,1.62,2.32,1.7
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,Quarterfinals,3,Wickmayer Y.,Pavlyuchenkova A.,52,25,1026,1920,6,3,7,6,,,2,0,Completed,2.75,1.4,2.8,1.42,2.75,1.44,2.9,1.48
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,Quarterfinals,3,Stephens S.,Osaka N.,24,114,1965,581,6,3,7,5,,,2,0,Completed,1.36,3,1.4,2.9,1.4,3,1.41,3.23
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,2nd Round,3,Osaka N.,Duque Marino M.,114,72,581,824,6,3,7,6,,,2,0,Completed,1.4,2.75,1.4,2.9,1.36,3.25,1.47,2.9
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Glushko J.,25,147,1920,385,6,2,6,1,,,2,0,Completed,1.22,4,1.25,3.75,1.25,4,1.27,4.18
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,2nd Round,3,Larsson J.,Rogers S.,59,108,963,606,6,1,6,7,7,5,2,1,Completed,1.53,2.37,1.6,2.3,1.57,2.38,1.65,2.38
20160222,Acapulco,Abierto Mexicano,International,Outdoor,Hard,2nd Round,3,Cibulkova D.,Azarenka V.,66,14,881,2935,,,,,,,,,Walkover,3.5,1.28,3.5,1.28,3.5,1.3,3.64,1.33
